Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
22-12-1998,12.81,14.37,9.50,15.75,24.93,16.27,13.91,18.41,19.65
23-12-1998,12.95,14.67,9.64,16.02,25.54,16.65,13.86,18.82,19.72
24-12-1998,13.24,14.59,9.71,16.22,25.44,16.64,14.11,18.94,20.09
28-12-1998,13.13,14.51,9.59,16.33,25.51,16.54,14.04,18.66,19.91
29-12-1998,13.37,14.66,9.68,16.55,25.57,16.90,14.28,19.08,20.35
30-12-1998,13.33,14.44,9.64,16.48,25.50,16.80,14.16,18.92,20.18
31-12-1998,13.47,14.42,9.55,16.62,25.32,16.68,14.10,19.12,20.25
04-01-1999,13.32,14.40,9.56,16.38,25.68,16.54,13.88,19.01,20.03
05-01-1999,13.66,14.32,9.64,16.73,26.34,16.65,14.04,19.37,20.37
06-01-1999,13.89,14.80,9.95,17.13,27.12,16.87,14.19,19.70,20.95
07-01-1999,13.79,14.74,10.10,16.93,27.09,16.68,14.15,19.60,20.92
08-01-1999,14.25,14.80,10.13,17.08,27.21,16.61,14.22,19.85,20.95
11-01-1999,14.28,14.51,10.01,16.89,27.41,16.28,13.83,19.88,20.85
12-01-1999,13.92,14.30,9.73,16.71,26.70,16.15,13.85,19.81,20.30
13-01-1999,13.61,14.09,9.61,16.29,26.65,16.18,13.94,19.63,20.39
14-01-1999,13.38,13.82,9.37,16.19,26.29,15.88,13.71,19.48,19.94
15-01-1999,13.58,14.03,9.63,16.48,27.08,16.08,13.78,19.72,20.19
19-01-1999,13.32,14.05,9.59,16.46,27.99,15.86,14.24,20.29,20.19
20-01-1999,13.29,13.92,9.65,16.36,28.32,15.91,14.19,20.41,20.51
21-01-1999,13.23,14.03,9.55,16.25,27.41,15.66,14.12,19.70,20.32
22-01-1999,12.97,13.96,9.41,15.92,26.95,15.59,14.23,19.60,20.43
25-01-1999,13.21,13.94,9.49,16.18,27.51,15.55,13.69,19.79,20.37
27-01-1999,13.08,13.55,9.38,16.31,28.10,16.13,13.75,19.67,20.83
28-01-1999,12.93,13.47,9.52,16.32,28.99,16.41,13.77,20.04,21.04
29-01-1999,12.98,13.47,9.72,16.43,29.33,16.45,13.75,20.04,21.19
01-02-1999,13.09,13.34,9.55,16.45,29.45,16.47,13.72,20.16,21.25
02-02-1999,13.09,13.36,9.45,16.32,28.94,16.52,13.55,19.87,20.97
03-02-1999,13.12,13.67,9.52,16.49,29.21,16.48,13.61,20.24,21.31
04-02-1999,13.48,13.74,9.30,16.52,27.94,16.39,13.42,20.09,21.20
05-02-1999,13.67,14.13,9.22,16.46,27.55,16.12,13.40,19.86,20.67
08-02-1999,13.58,14.32,9.20,16.51,28.11,16.10,13.41,19.83,21.00
09-02-1999,13.34,14.05,9.07,16.29,26.87,15.92,13.47,19.49,20.35
10-02-1999,13.39,14.09,9.15,16.35,27.21,15.93,13.43,19.54,20.35
11-02-1999,13.25,13.97,9.52,16.57,28.19,16.19,13.44,20.06,21.01
12-02-1999,13.17,13.68,9.38,16.48,27.21,16.05,13.23,19.77,20.63
16-02-1999,13.06,13.59,9.52,16.55,27.07,16.32,13.40,19.95,20.90
17-02-1999,13.06,13.45,9.55,16.55,26.39,16.14,13.37,19.74,20.84
18-02-1999,13.01,13.49,9.64,16.55,26.58,16.28,13.60,20.01,20.85
19-02-1999,13.12,13.41,9.68,16.67,26.85,16.23,13.45,20.06,20.96
22-02-1999,13.38,13.55,9.97,16.92,27.72,16.58,13.90,20.49,21.49
23-02-1999,13.23,13.43,10.09,16.92,28.09,16.60,13.45,20.43,21.38
24-02-1999,13.19,13.45,9.76,16.88,27.31,16.43,13.59,20.21,21.12
25-02-1999,13.19,13.45,9.69,16.54,27.34,16.17,13.29,20.04,20.88
26-02-1999,13.19,13.36,9.87,16.57,26.53,16.33,13.37,20.08,21.04
01-03-1999,13.04,13.22,9.96,16.57,26.31,16.20,13.18,20.02,21.07
02-03-1999,12.98,13.09,9.89,16.44,25.68,16.16,12.98,20.03,21.13
03-03-1999,12.83,13.38,9.83,16.35,26.09,16.17,12.98,19.88,21.01
04-03-1999,12.86,13.86,10.06,16.66,26.31,16.37,13.19,20.25,21.45
05-03-1999,13.30,14.11,10.32,17.03,26.99,16.63,13.41,20.71,22.11
08-03-1999,13.39,14.32,10.24,17.12,27.77,16.70,13.27,20.73,22.20
09-03-1999,13.26,14.17,10.34,17.22,27.43,16.72,13.23,20.57,22.25
10-03-1999,13.46,14.98,10.53,17.17,27.43,16.50,13.18,20.75,22.21
