AGE C MWD MER DELL HPQ IBM AA CAT PG
-12.175  -8.689  -8.374 -13.970 -16.546  -6.192   4.144 -16.403  -4.438  -8.893
  4.945   2.226   2.309  -0.645  34.490  -4.006   5.905   4.039   8.836  -0.840
 13.083   1.667   0.161  -3.992  21.342   5.672   1.508   0.120   0.166   5.408
-11.064   3.898   2.198  -4.096  10.828  -5.292   2.062  -4.277   0.252   4.260
 19.704  13.111  12.278  13.210  28.767   8.811  10.557   5.807   8.520  16.346
 -1.436   3.954   1.821  -5.406  14.129  -1.471  -2.727  -4.053 -22.099   4.802
 -6.517  -5.836 -16.958   5.476  -7.566  -9.365  -5.741   9.091  -7.191  -0.549
 -8.767 -14.187  -7.439 -13.848  -0.621 -19.751  -8.168  -7.995 -12.641 -11.860
-27.470 -27.071 -12.808  -9.760 -26.145  -4.255   3.804  -3.332  -2.358  -5.970
  4.090 -11.695  -1.860  -5.296  20.831 -22.986  -1.538 -15.128  -3.438   7.979
 11.352  24.239   8.690  10.126  22.941  14.796   8.389   2.706   0.332   4.817
  9.012   0.543   2.033   6.535  40.391   6.038  -1.112   4.450  13.724   3.963
 19.727  15.219   9.597  18.156  21.779  21.442  11.650  12.202   5.971  -8.455
 16.342  16.093  17.992  16.764  11.107  19.441   2.038  -0.883   9.304   2.029
 13.202  -1.306  17.238  21.342  12.379   7.014 -12.046   1.652 -12.849   4.277
  1.460  -3.832  -1.977   8.490 -18.453   1.779 -10.021   3.193  -0.366  -1.352
  7.121   7.205   8.301   8.154   5.427   5.657   3.754   4.915   8.206   1.035
-10.436 -12.717 -10.775  -6.867  -1.474  -6.685  -8.945  -5.561  -5.054  -9.568
 19.417  13.949  15.655   7.678  16.882   5.446   3.782   4.757  -0.364   4.543
  2.078   5.880   2.553   1.374  13.034  -2.072  -3.570  -2.391  -3.752   2.961
 19.855   5.141   5.914  14.446   1.864  -6.582   6.533  -8.197  -6.488   1.212
  7.215   2.401   7.714   6.838 -25.884   1.352  -5.603  -0.572   7.819  -1.300
-13.067 -10.689  -1.997  -7.143  -5.908  -4.846  -5.001  -8.072 -14.443  -3.519
 29.627  20.351  19.379  22.838   8.703  18.362  -4.123   9.704   6.024  15.556
 -5.927   5.398 -11.321  -3.488  24.074   3.631   0.807  -0.122   6.578  10.735
 -6.963  -0.320  -1.205  -2.285   9.092  22.887  -2.448   7.858   4.226  -2.368
 -9.213  -3.349  -1.676  -1.903   3.964  10.211  -4.222   1.285   1.965   0.278
-16.635   1.116 -11.399 -11.222   7.935  -0.934   8.370  10.007  12.238   1.203
  9.574  -5.841   4.766  -0.711   2.079  -5.303   1.031   0.021   7.270  -0.787
 -8.148  -0.305  -2.738   3.819 -32.863  -9.417   7.546  -2.559 -11.278 -10.767
 -0.881  14.912   9.458   1.713  26.629   6.448  -3.460  -3.068   2.802  10.385
  4.085  -9.920  -7.779  -3.319   9.522 -22.370  -7.559 -12.091 -12.931  -7.668
 -7.385   9.820  -5.428   1.773  13.124  -2.513  -7.025   2.272   7.789   5.091
 11.300  -2.524   2.887   9.144  18.976   1.780 -17.421   5.045   0.289   7.407
 16.406  11.903   7.295   9.310   7.431  16.662   3.605   0.850   8.352   2.340
 -6.653   1.041   4.920  -1.718  30.344   5.108 -26.459   1.871  -5.775  -1.420
  8.745   9.569   1.320   9.624  -3.896   2.791   1.983   3.589   4.692  -6.963
 -2.186   3.502   1.963   4.421 -30.785   2.186   6.387  -5.421   3.097   4.278
